feature,coef,odds_ratio
wheeze_12mo,0.8983055113752784,2.455438870789127
family_hx_asthma,0.5936396206342575,1.8105662119392614
n_household_smokers,0.3135452499201198,1.3682673753504608
exercise_wheeze,0.2612320911586308,1.2985290075647964
ethnicity_4.0,0.22089523008586132,1.2471927554408717
nocturnal_dry_cough,0.15986356635981522,1.1733507755533346
bmi,0.1569731618124089,1.1699642137605102
age,0.05282737274492376,1.054247637534235
ethnicity_5.0,-0.008761260857189207,0.9912770071485066
wheeze_attacks,-0.00962514070950551,0.9904210326967418
ethnicity_2.0,-0.023691094170235655,0.9765873366899295
sex,-0.11004416840403891,0.8957945686062938
household_size,-0.16185478766966066,0.8505647080562605
income_poverty_ratio,-0.1980456267061928,0.8203324232174809
ethnicity_3.0,-0.24128316347893475,0.7856191362415543
household_smoker,-0.26245098763121,0.7691640619974045
ethnicity_1.0,-0.5057207734923705,0.6030707413330444
