feature,mean_abs_shap
wheeze_attacks,0.09380827344545227
wheeze_12mo,0.08925052175863081
family_hx_asthma,0.0889022681317905
exercise_wheeze,0.03774283647529346
ethnicity_4.0,0.021097014785689584
income_poverty_ratio,0.020087633268281477
bmi,0.017249699198071428
ethnicity_1.0,0.016771192051810706
age,0.010664103308284259
household_size,0.008980464806312172
nocturnal_dry_cough,0.007420620845125122
sex,0.007095818624098355
n_household_smokers,0.0051553070689389245
ethnicity_3.0,0.004337864731865829
household_smoker,0.0025178778766008895
ethnicity_2.0,0.0011585316666166054
ethnicity_5.0,0.0005079413473437932
